Event	Age (in Myrs)	Adjacency East Pacific	Adjacency West Atlantic	Adjacency Mediterranean	Adjacency West Indo-Pacific	Adjacency Central Indo-Pacific	Adjacency Temperate Australia
Today	1	c(1,2,3,4,5)	c(1,2,3,4,5)	c(1,2,3,4,5)	c(1,2,3,4,5)	c(1,2,3,4,5)	c(1,2,3,4,5)
Isthmus of Panama closing	3.1	1	c(2,3)	c(2,3)	c(4,5)	c(4,5,6)	c(5,6)
Zanclean flood	5.96	c(1,2)	c(1,2)	c(2,3)	c(4,5)	c(4,5,6)	c(5,6)
Terminal Tethys event	15	c(1,2)	c(1,2)	0	c(4,5)	c(4,5)	6
Bin 5	35	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	6
Bin 6	55	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	6
Bin 7	75	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	6
Bin 8	95	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	6
Bin 9	115	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	6
Bin 10	135	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	6
Bin 11	155	c(1,2)	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	c(4,6)
Bin 12	175	1	c(1,2)	c(2,3,4)	c(3,4,5)	c(4,5)	c(4,6)
Bin 13	195	1	0	c(3,4)	c(3,4,5)	c(4,5)	c(4,6)
Bin 14	215	1	0	c(3,4,5)	c(3,4,5)	c(3,4,5)	c(4,6)
Bin 15	235	1	0	c(3,4,5)	c(3,4,5)	c(3,4,5)	c(4,6)
Bin 16	255	1	0	c(3,4,5)	c(3,4,5)	c(3,4,5)	c(4,6)
