Family	Genus	Species	East Pacific	West Atlantic	East Atlantic	Tethys	West Indo-Pacific	Central Indo-Pacific	Australasia
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	0	0	0	0	0	0	1
Brachaeluridae	Brachaelurus	Brachaelurus waddi	0	0	0	0	0	0	1
Hemiscyliidae	Chiloscyllium	Chiloscyllium arabicum	0	0	0	0	1	0	0
Hemiscyliidae	Chiloscyllium	Chiloscyllium burmensis	0	0	0	0	1	0	0
Hemiscyliidae	Chiloscyllium	Chiloscyllium griseum	0	0	0	0	1	1	0
Hemiscyliidae	Chiloscyllium	Chiloscyllium hasseltii	0	0	0	0	0	1	0
Hemiscyliidae	Chiloscyllium	Chiloscyllium indicum	0	0	0	0	1	1	0
Hemiscyliidae	Chiloscyllium	Chiloscyllium plagiosum	0	0	0	0	1	1	0
Hemiscyliidae	Chiloscyllium	Chiloscyllium punctatum	0	0	0	0	1	1	1
Parascylliidae	Cirrhoscyllium	Cirrhoscyllium expolitum	0	0	0	0	0	1	0
Parascylliidae	Cirrhoscyllium	Cirrhoscyllium formosanum	0	0	0	0	0	1	0
Parascylliidae	Cirrhoscyllium	Cirrhoscyllium japonicum	0	0	0	0	0	1	0
Orectolobidae	Eucrossorhinus	Eucrossorhinus dasypogon	0	0	0	0	0	0	1
Ginglymostomatidae	Ginglymostoma	Ginglymostoma cirratum	0	1	1	0	0	0	0
Ginglymostomatidae	Ginglymostoma	Ginglymostoma unami	1	0	0	0	0	0	0
Hemiscyliidae	Hemiscyllium	Hemiscyllium freycineti	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium galei	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium hallstromi	0	0	0	0	0	1	0
Hemiscyliidae	Hemiscyllium	Hemiscyllium halmahera	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium henryi	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium michaeli	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium ocellatum	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium strahani	0	0	0	0	0	0	1
Hemiscyliidae	Hemiscyllium	Hemiscyllium trispeculare	0	0	0	0	0	0	1
Ginglymostomatidae	Nebrius	Nebrius ferrugineus	0	0	0	0	1	1	1
Orectolobidae	Orectolobus	Orectolobus floridus	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus halei	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus hutchinsi	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus japonicus	0	0	0	0	0	1	0
Orectolobidae	Orectolobus	Orectolobus leptolineatus	0	0	0	0	0	1	0
Orectolobidae	Orectolobus	Orectolobus maculatus	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus ornatus	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus parvimaculatus	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus reticulatus	0	0	0	0	0	0	1
Orectolobidae	Orectolobus	Orectolobus wardi	0	0	0	0	0	0	1
Parascylliidae	Parascyllium	Parascyllium collare	0	0	0	0	0	0	1
Parascylliidae	Parascyllium	Parascyllium elongatum	0	0	0	0	0	0	1
Parascylliidae	Parascyllium	Parascyllium ferrugineum	0	0	0	0	0	0	1
Parascylliidae	Parascyllium	Parascyllium sparsimaculatum	0	0	0	0	0	0	1
Parascylliidae	Parascyllium	Parascyllium variolatum	0	0	0	0	0	0	1
Ginglymostomatidae	Pseudoginglymostoma	Pseudoginglymostoma brevicaudatum	0	0	0	0	1	0	0
Rhincodontidae	Rhincodon	Rhincodon typus	1	1	1	0	1	1	1
Stegostomatidae	Stegostoma	Stegostoma fasciatum	0	0	0	0	1	1	1
Orectolobidae	Sutorectus	Sutorectus tentaculatus	0	0	0	0	0	0	1
