".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"100.5"	"145.0"	20	20	124.314747549071	19	4.02e-29	6.03e-28	"****"
"2"	"AICc"	"100.5"	"56.0"	20	20	111.060261472882	19	3.41e-28	5.11e-27	"****"
"3"	"AICc"	"100.5"	"HPP"	20	20	-30.0352146696242	19	1.77e-17	2.66e-16	"****"
"4"	"AICc"	"100.5"	"NHPP"	20	20	3.04989357022186	19	0.007	0.099	"ns"
"5"	"AICc"	"100.5"	"TPP"	20	20	125.080306055029	19	3.58e-29	5.37e-28	"****"
"6"	"AICc"	"145.0"	"56.0"	20	20	-8.92336688252769	19	3.19e-08	4.79e-07	"****"
"7"	"AICc"	"145.0"	"HPP"	20	20	-107.608495652862	19	6.22e-28	9.33e-27	"****"
"8"	"AICc"	"145.0"	"NHPP"	20	20	-94.4120767586853	19	7.43e-27	1.11e-25	"****"
"9"	"AICc"	"145.0"	"TPP"	20	20	26.3837661684499	19	1.97e-16	2.96e-15	"****"
"10"	"AICc"	"56.0"	"HPP"	20	20	-102.410207355055	19	1.59e-27	2.38e-26	"****"
"11"	"AICc"	"56.0"	"NHPP"	20	20	-88.2944465667566	19	2.65e-26	3.98e-25	"****"
"12"	"AICc"	"56.0"	"TPP"	20	20	20.9170510584697	19	1.41e-14	2.11e-13	"****"
"13"	"AICc"	"HPP"	"NHPP"	20	20	20.6171199514821	19	1.83e-14	2.75e-13	"****"
"14"	"AICc"	"HPP"	"TPP"	20	20	113.317900111174	19	2.33e-28	3.49e-27	"****"
"15"	"AICc"	"NHPP"	"TPP"	20	20	95.9784201505651	19	5.44e-27	8.16e-26	"****"
